atendente_id,nome,email,telefone,especialidade
1,Ana Clara Ribeiro,ana.clararibeiro@Skynet.com,51951526212,Comercial
2,Apollo Cardoso,apollo.cardoso@Skynet.com,91985429581,Suporte
3,Rafaela Leão,rafaela.leão@Skynet.com,31928476591,Financeiro
4,André da Paz,andré.dapaz@Skynet.com,31945283417,Comercial
5,Isabelly Campos,isabelly.campos@Skynet.com,71950355923,Comercial
6,Jade Rodrigues,jade.rodrigues@Skynet.com,21928485491,Comercial
7,Nathan Montenegro,nathan.montenegro@Skynet.com,21912730432,Financeiro
8,Benjamin Pastor,benjamin.pastor@Skynet.com,21914961176,Financeiro
9,Srta. Catarina Abreu,srta..catarinaabreu@Skynet.com,31931906453,Suporte
10,Maria Luiza Abreu,maria.luizaabreu@Skynet.com,31943545542,Comercial
